Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,Cum_Ah,Cum_Wh,Volt_roll_mean_5,Volt_roll_std_5,Curr_roll_mean_5,Curr_roll_std_5,Temp_roll_mean_5,Temp_roll_std_5,Volt_roll_mean_10,Volt_roll_std_10,Curr_roll_mean_10,Curr_roll_std_10,Temp_roll_mean_10,Temp_roll_std_10,Delta_Voltage,Delta_Current,Delta_Temp,Delta_Ah,Temp_range_10
,[],,,,,[],3.30862,0.0,1.997871963737924,2.212439030264182,7.811973793782337,0.08135904628908923,25.673751201868047,1.997871963737924,7.811973793782337,,,,,,,,,,,,,,,,,
1,...,0.0,0.0,0,0,Recovas_Capacity_Check,3.30862,0.0,1.997871963737924,2.212439030264182,7.811973793782337,0.08135904628908923,25.673751201868047,3.995743927475848,15.623947587564674,,,,,,,,,,,,,0.0,0.0,0.0,0.0,
5,PAU,0.008,0.07,0,0,Recovas_Capacity_Check,3.30862,0.0,1.997871963737924,2.212439030264182,7.811973793782337,0.08135904628908923,25.673751201868047,5.993615891213772,23.43592138134701,,,,,,,,,,,,,0.0,0.0,0.0,0.0,
5,PAU,0.008,0.07,0,0,Recovas_Capacity_Check,3.30862,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,,,,,,,,,,,,,0.0,0.0,-1.3737512018680462,-1.997871963737924,
5,PAU,120.043,120.105,0,0,Recovas_Capacity_Check,3.30862,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.30862,0.0,0.0,0.0,25.124250721120827,0.7524345216629618,,,,,,,0.0,0.0,0.0,0.0,
5,PAU,240.026,240.088,0,0,Recovas_Capacity_Check,3.30862,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.30862,0.0,0.0,0.0,24.849500480747217,0.7524345216629608,,,,,,,0.0,0.0,0.0,0.0,
5,PAU,360.042,360.104,0,0,Recovas_Capacity_Check,3.30873,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.308642,4.9193495505143875e-05,0.0,0.0,24.57475024037361,0.6143602143097945,,,,,,,0.00011000000000027654,0.0,0.0,0.0,
5,PAU,480.026,480.088,0,0,Recovas_Capacity_Check,3.30873,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.3086640000000003,6.024948132581602e-05,0.0,0.0,24.3,0.0,,,,,,,0.0,0.0,0.0,0.0,
5,PAU,600.024,600.086,0,0,Recovas_Capacity_Check,3.30873,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.3086860000000002,6.024948132581602e-05,0.0,0.0,24.3,0.0,,,,,,,0.0,0.0,0.0,0.0,
5,PAU,720.034,720.096,0,0,Recovas_Capacity_Check,3.30873,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.308708,4.9193495505143875e-05,0.0,0.0,24.3,0.0,3.3086640000000003,5.6803755744417355e-05,0.0,0.0,24.712125360560414,0.6635848740600137,0.0,0.0,0.0,0.0,1.3737512018680462
5,PAU,840.03,840.092,0,0,Recovas_Capacity_Check,3.30873,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.30873,0.0,0.0,0.0,24.3,0.0,3.308675,5.7975090436435975e-05,0.0,0.0,24.57475024037361,0.5792243648395726,0.0,0.0,0.0,0.0,1.3737512018680462
5,PAU,960.046,960.108,0,0,Recovas_Capacity_Check,3.30873,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.30873,0.0,0.0,0.0,24.3,0.0,3.3086860000000002,5.6803755744417355e-05,0.0,0.0,24.437375120186807,0.43441827362968194,0.0,0.0,0.0,0.0,1.3737512018680462
5,PAU,1080.033,1080.095,0,0,Recovas_Capacity_Check,3.30873,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.30873,0.0,0.0,0.0,24.3,0.0,3.308697,5.313504806942615e-05,0.0,0.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0
5,PAU,1200.018,1200.08,0,0,Recovas_Capacity_Check,3.30885,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.3087540000000004,5.366563145999897e-05,0.0,0.0,24.3,0.0,3.30872,6.463573143225761e-05,0.0,0.0,24.3,0.0,0.00011999999999989797,0.0,0.0,0.0,0.0
5,PAU,1320.036,1320.098,0,0,Recovas_Capacity_Check,3.30885,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.308778,6.572670690071608e-05,0.0,0.0,24.3,0.0,3.3087430000000007,6.60050503117972e-05,0.0,0.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0
5,PAU,1440.042,1440.104,0,0,Recovas_Capacity_Check,3.30885,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.308802,6.57267069008985e-05,0.0,0.0,24.3,0.0,3.308766,5.796550698458576e-05,0.0,0.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0
5,PAU,1560.048,1560.11,0,0,Recovas_Capacity_Check,3.30896,0.0,0.0,0.0,0.0,0.0,24.3,5.993615891213772,23.43592138134701,3.3088480000000002,8.13633824278223e-05,0.0,0.0,24.3,0.0,3.308789,8.252272414285182e-05,0.0,0.0,24.3,0.0,0.00010999999999983245,0.0,0.0,0.0,0.0
5,PAU,1680.037,1680.099,0,0,Recovas_Capacity_Check,3.30885,0.0,0.0,0.0,0.0,0.0,24.2,5.993615891213772,23.43592138134701,3.308872,4.9193495506501364e-05,0.0,0.0,24.28,0.04472135954993153,3.3088010000000003,8.171087238924876e-05,0.0,0.0,24.29,0.03162277660176399,-0.00010999999999983245,0.0,-0.10000000000000142,0.0,0.10000000000000142
5,PAU,1800.028,1800.09,0,0,Recovas_Capacity_Check,3.30896,0.0,0.0,0.0,0.0,0.0,24.2,5.993615891213772,23.43592138134701,3.308894,6.024948132715244e-05,0.0,0.0,24.259999999999998,0.05477225575046355,3.308824,9.131143289694397e-05,0.0,0.0,24.28,0.042163702135640045,0.00010999999999983245,0.0,0.0,0.0,0.10000000000000142
5,PAU,1800.028,1800.09,0,0,Recovas_Capacity_Check,3.30896,0.0,0.0,0.0,0.0,0.0,24.2,5.993615891213772,23.43592138134701,3.308916,6.024948132755784e-05,0.0,0.0,24.24,0.054772255750462503,3.308847,9.393259994926066e-05,0.0,0.0,24.27,0.04830458915401954,0.0,0.0,0.0,0.0,0.10000000000000142
5,PAU,1800.028,1800.09,0,0,Recovas_Capacity_Check,3.30896,0.0,1.997871963737924,2.212439030264182,7.811973793782337,0.08135904628908923,25.673751201868047,7.991487854951696,31.247895175129347,3.308938,4.919349550799088e-05,0.0,0.0,24.51475024037361,0.6493466015794778,3.30887,9.0184995055731e-05,0.0,0.0,24.407375120186806,0.44744933919105895,0.0,0.0,1.4737512018680476,1.997871963737924,1.4737512018680476
6,CHA,0.0,1800.111,0,0,Recovas_Capacity_Check,3.35444,0.0,1.997871963737924,2.212439030264182,7.811973793782337,0.08135904628908923,25.673751201868047,9.989359818689621,39.05986896891169,3.318034,0.020351628436074104,0.0,0.0,24.78950048074722,0.8072067774134765,3.313441,0.014405778508794204,0.0,0.0,24.54475024037361,0.596783780651516,0.045479999999999965,0.0,0.0,0.0,1.4737512018680476
6,CHA,0.0,1800.111,0,0,Recovas_Capacity_Check,3.35444,0.0,0.0,0.0,0.0,0.0,24.2,9.989359818689621,39.05986896891169,3.3271520000000003,0.024910421915335754,0.0,0.0,24.78950048074722,0.8072067774134765,3.3180120000000004,0.019199311793221117,0.0,0.0,24.534750240373608,0.6021542784695975,0.0,0.0,-1.4737512018680476,-1.997871963737924,1.4737512018680476
